id,open,close,high,low,volume,Day,Month,Year
289,416.4,455.59,457.7,414.56,147651.82,06,11,2020
290,402.78,416.16,420.0,395.14,119086.58,05,11,2020
291,388.31,402.69,408.92,376.83,91652.48,04,11,2020
292,383.33,388.17,390.29,370.52,41414.45,03,11,2020
293,396.7,383.35,404.91,377.86,67271.4,02,11,2020
294,386.33,396.56,397.49,384.68,27518.64,01,11,2020
295,382.91,386.47,394.28,380.78,41095.13,31,10,2020
296,386.9,382.9,392.22,373.2,45336.67,30,10,2020
297,388.47,387.06,393.71,380.5,31173.89,29,10,2020
298,403.22,388.39,409.45,380.5,61360.4,28,10,2020
299,392.81,403.02,409.78,390.21,58004.06,27,10,2020
300,405.97,392.68,411.56,382.2,94828.97,26,10,2020
301,412.54,406.09,417.82,403.55,33116.7,25,10,2020
302,409.58,412.49,417.0,406.93,39313.58,24,10,2020
303,414.3,409.58,419.77,402.09,62251.4,23,10,2020
304,391.28,414.31,421.29,391.27,149342.61,22,10,2020
305,368.79,391.37,401.41,368.11,133501.21,21,10,2020
306,379.63,368.8,381.12,365.0,59090.13,20,10,2020
307,378.75,379.63,384.5,373.05,35175.46,19,10,2020
308,368.68,378.74,379.05,367.87,30160.78,18,10,2020
309,365.82,368.77,371.0,363.65,23536.19,17,10,2020
310,377.9,365.75,380.2,361.47,59268.26,16,10,2020
311,379.37,377.96,382.79,370.42,33549.13,15,10,2020
312,381.74,379.41,388.47,373.51,37694.88,14,10,2020
313,387.39,381.77,388.31,375.21,37598.72,13,10,2020
314,374.65,387.57,395.8,365.94,78930.83,12,10,2020
315,371.11,374.5,378.0,369.51,17461.52,11,10,2020
316,365.71,371.17,379.0,365.62,37583.99,10,10,2020
317,351.63,365.7,369.0,348.09,39246.61,09,10,2020
318,342.31,351.5,353.97,334.41,65270.06,08,10,2020
319,341.09,342.35,343.3,333.25,52531.46,07,10,2020
320,354.39,341.09,355.84,337.37,48453.42,06,10,2020
321,352.97,354.23,356.77,349.29,20517.82,05,10,2020
322,346.51,352.96,354.98,344.56,25135.19,04,10,2020
323,346.24,346.51,351.64,344.44,20357.86,03,10,2020
324,353.09,346.03,354.9,335.0,87052.32,02,10,2020
325,360.45,353.48,371.2,345.85,62726.31,01,10,2020
326,360.68,360.28,361.99,352.34,20323.97,30,09,2020
327,354.48,360.61,361.33,351.14,25004.1,29,09,2020
328,358.62,354.55,368.59,352.71,56652.71,28,09,2020
329,354.91,358.46,363.0,347.6,55479.54,27,09,2020
330,352.62,354.63,357.14,346.46,34491.84,26,09,2020
331,349.6,352.65,358.65,338.25,64671.21,25,09,2020
332,321.37,349.5,353.85,317.52,130585.78,24,09,2020
333,344.72,321.26,345.15,313.81,112650.96,23,09,2020
334,341.0,344.65,347.43,335.91,51984.58,22,09,2020
335,371.63,340.78,377.59,332.1,152572.75,21,09,2020
336,386.16,371.75,386.34,366.25,92157.66,20,09,2020
337,384.99,386.16,389.3,378.01,23994.75,19,09,2020
338,389.99,384.99,393.0,375.78,42757.58,18,09,2020
339,365.71,390.1,394.94,363.94,92448.49,17,09,2020
340,364.4,365.69,374.4,355.8,54745.31,16,09,2020
341,377.44,364.46,382.96,362.76,47576.31,15,09,2020
342,366.25,377.43,385.0,356.28,73477.78,14,09,2020
